ticker,eps_yoy,revenue_growth,revenue_acceleration,earnings_surprise,roe,gross_margin,debt_to_equity,as_of_date,cached_at_utc
GPRE,-1.197674418604651,-0.26569718264038,-0.0764083223487547,,0.015582442737133,0.0936250288563107,60.197,2026-02-15,2026-02-21T18:20:35.825501+00:00
GRC,0.2380952380952381,0.0276069971816246,-0.1268239453036713,,,,74.153,2026-02-15,2026-02-21T18:20:35.825501+00:00
GROW,,0.04357904496986564,0.21646748571040397,,0.0327672805548911,0.4749000444247001,0.363,2026-02-15,2026-02-21T18:20:35.825501+00:00
GVA,0.2261904761904762,0.192434690162621,-0.460174072046668,,0.0441288225755015,0.1439199567519328,122.599,2026-02-15,2026-02-21T18:20:35.825501+00:00
HCSG,1.75,0.0659415456862761,-0.0077046570820495,,0.0612375296446561,0.1544327829228468,2.943,2026-02-15,2026-02-21T18:20:35.825501+00:00
IBRX,-0.5,4.250736980019653,-0.3865839278346801,,0.128267333436324,0.9944792738841584,,2026-02-15,2026-02-21T18:20:35.825501+00:00
ICHR,2.8333333333333335,0.1333576459109875,0.0129826165184868,,,,24.129,2026-02-15,2026-02-21T18:20:35.825501+00:00
ISSC,4.5,0.3656116901977608,0.0588180352976761,,0.0590457113048176,0.5449729337940338,34.228,2026-02-15,2026-02-21T18:20:35.825501+00:00
ISTR,-0.1639344262295081,0.1905513364237103,-0.0098058485126861,,,,62827.0,2026-02-15,2026-02-21T18:20:35.825501+00:00
KLIC,-0.7880794701986755,0.2016626134694565,-0.0720971590211903,,0.0203579242092759,0.4957044458359423,4.482,2026-02-15,2026-02-21T18:20:35.825501+00:00
KMT,0.9130434782608694,0.0984833554955804,0.0991281308854301,,0.025767335824011,0.328348992021151,47.464,2026-02-15,2026-02-21T18:20:35.825501+00:00
LBRT,-0.409090909090909,0.1008537751146174,0.187655741182476,,0.0065852481782336,0.0903683993157074,29.741,2026-02-15,2026-02-21T18:20:35.825501+00:00
LFUS,5.191082802547771,0.1009006150971993,-0.0883279272867378,,,,36.042,2026-02-15,2026-02-21T18:20:35.825501+00:00
LMT,1.612612612612612,0.0912361722693588,0.066991610196107,,0.199970242523434,0.1142660302150484,338.804,2026-02-15,2026-02-21T18:20:35.825501+00:00
LPG,1.2200000000000002,0.4871585116842214,-0.5062854861900528,,0.0434668555846585,0.5173625130619082,62.049,2026-02-15,2026-02-21T18:20:35.825501+00:00
LSTA,-0.1967213114754098,,,,-0.2445749150981408,,151644.0,2026-02-15,2026-02-21T18:20:35.825501+00:00
LUV,0.4523809523809523,0.0738816738816738,0.1116688170395671,,0.040471118907405,0.2031711905401773,74.94,2026-02-15,2026-02-21T18:20:35.825501+00:00
LYG,,0.1268045259461567,0.3534586055162919,,0.0294117647058823,,,2026-02-15,2026-02-21T18:20:35.825501+00:00
MAZE,0.1672924651271377,-1.0,,,-0.0792940047860508,,6.373,2026-02-15,2026-02-21T18:20:35.825501+00:00
MEC,-1.9285714285714284,0.065867998109194,0.1145263696431649,,-0.0109286268742084,0.1104497262836948,102.197,2026-02-15,2026-02-21T18:20:35.825501+00:00
MITK,-0.6666666666666667,0.1876308584313093,0.0088269984808034,,0.0118635943438216,0.8099855347617756,69.347,2026-02-15,2026-02-21T18:20:35.825501+00:00
MOD,-2.1842105263157894,0.3051232166018158,0.0072956142234894,,-0.0422535211267605,0.2311801242236024,66.658,2026-02-15,2026-02-21T18:20:35.825501+00:00
MOG.A,0.3820224719101124,0.2119923073703411,-0.0210232920860669,,0.0381697163326556,0.2674067974982415,61.452,2026-02-15,2026-02-21T18:20:35.825501+00:00
MOG.B,0.3820224719101124,0.2119923073703411,-0.0210232920860669,,0.0381697163326556,0.2674067974982415,61.452,2026-02-15,2026-02-21T18:20:35.825501+00:00
MPTI,-0.2222222222222223,0.072347510216437,0.0236591603403546,,0.0494987976547512,0.4431192660550458,0.43,2026-02-15,2026-02-21T18:20:35.825501+00:00
MPWR,-0.8842034805890228,0.1887653821282688,0.0668651991232631,,,,702124.0,2026-02-15,2026-02-21T18:20:35.825501+00:00
MRK,-0.1959459459459459,0.0371615537011467,0.0751650630401441,,,,79.708,2026-02-15,2026-02-21T18:20:35.825501+00:00
MRNA,-0.2749140893470791,-0.4598382749326145,6.033494781362985,,,,14.601,2026-02-15,2026-02-21T18:20:35.825501+00:00
MSGS,5.8,0.1276417923797863,10.03173088443324,,-0.0292222064662507,0.2281346672483541,192695.0,2026-02-15,2026-02-21T18:20:35.825501+00:00
MSLE,-0.25,,,,-0.1712058823529411,,21102.0,2026-02-15,2026-02-21T18:20:35.825501+00:00
