zscore,vwap_dist_bps,satellite_pct,cooldown_bars,hold_bars,max_trades_day,avg_alpha_pct,avg_sharpe,avg_trades,avg_max_dd,min_alpha,max_alpha,pct_positive_alpha
2.8000,80.0000,0.4000,14,8,6,-1.1257,1.7525,37.8000,1.0851,-5.9109,2.2643,40.0000
2.8000,35.0000,0.4000,14,8,6,-1.1270,1.6915,51.6000,1.0930,-5.8808,2.4002,40.0000
2.0000,100.0000,0.4000,10,6,8,-1.1274,1.9531,37.0000,1.0999,-5.7758,2.0987,40.0000
2.4000,100.0000,0.4000,10,6,8,-1.1278,1.9459,34.6000,1.1059,-5.8118,2.0874,40.0000
3.2000,55.0000,0.4000,14,8,6,-1.1293,1.9074,46.2000,1.0797,-5.8340,2.1328,40.0000
2.8000,55.0000,0.4000,14,8,6,-1.1294,1.8365,49.2000,1.0748,-5.8616,2.1782,40.0000
2.4000,35.0000,0.4000,10,6,8,-1.1305,1.6961,58.4000,1.1010,-5.8474,2.3297,40.0000
2.4000,80.0000,0.4000,14,8,6,-1.1307,1.8174,40.8000,1.1019,-5.8576,2.1622,40.0000
2.0000,55.0000,0.4000,14,8,6,-1.1323,1.8413,56.4000,1.1008,-5.8462,2.1017,40.0000
2.4000,100.0000,0.4000,6,4,12,-1.1328,1.9108,35.8000,1.1160,-5.8309,2.0854,40.0000
2.4000,100.0000,0.4000,14,8,6,-1.1332,1.8979,34.2000,1.0992,-5.8336,2.1016,40.0000
2.0000,100.0000,0.4000,14,8,6,-1.1355,1.8808,36.6000,1.0947,-5.8119,2.1099,40.0000
2.0000,100.0000,0.4000,6,4,12,-1.1362,1.8851,38.2000,1.1108,-5.8167,2.0985,40.0000
2.0000,35.0000,0.4000,6,4,12,-1.1372,1.8078,71.4000,1.1160,-5.8609,2.1554,40.0000
3.2000,35.0000,0.4000,6,4,12,-1.1411,1.7745,56.0000,1.1001,-5.8522,2.1591,40.0000
3.2000,100.0000,0.4000,6,4,12,-1.1427,1.8626,31.4000,1.1030,-5.8705,2.0494,40.0000
2.4000,55.0000,0.4000,14,8,6,-1.1438,1.7771,50.8000,1.0833,-5.8594,2.1185,40.0000
2.8000,100.0000,0.4000,6,4,12,-1.1449,1.7668,32.4000,1.1053,-5.9135,2.1299,40.0000
2.0000,35.0000,0.4000,10,6,8,-1.1451,1.7492,65.4000,1.1185,-5.8194,2.1247,40.0000
3.2000,100.0000,0.4000,10,6,8,-1.1452,1.8564,30.2000,1.0944,-5.8705,2.0372,40.0000
2.8000,100.0000,0.4000,10,6,8,-1.1462,1.7653,31.2000,1.0968,-5.9135,2.1195,40.0000
3.2000,100.0000,0.4000,14,8,6,-1.1481,1.8354,30.2000,1.0885,-5.8705,2.0499,40.0000
2.4000,35.0000,0.4000,14,8,6,-1.1490,1.6155,53.6000,1.0988,-5.8666,2.3083,40.0000
2.8000,100.0000,0.4000,14,8,6,-1.1503,1.7416,31.2000,1.0908,-5.9135,2.1321,40.0000
2.8000,35.0000,0.4000,6,4,12,-1.1605,1.5901,59.4000,1.1038,-5.8801,2.2488,40.0000
3.2000,55.0000,0.3000,10,6,8,-1.1638,1.6965,45.4000,1.0854,-5.8584,2.1452,40.0000
3.2000,35.0000,0.3000,10,6,8,-1.1686,1.6452,50.0000,1.0991,-5.8660,2.1261,40.0000
3.2000,35.0000,0.3000,14,8,6,-1.1693,1.6375,46.6000,1.0982,-5.8660,2.1406,40.0000
3.2000,80.0000,0.3000,10,6,8,-1.1697,1.6006,36.0000,1.1051,-5.9019,2.1823,40.0000
2.0000,80.0000,0.3000,10,6,8,-1.1699,1.6636,47.2000,1.0945,-5.8369,2.0870,40.0000
2.8000,80.0000,0.3000,10,6,8,-1.1715,1.5602,38.2000,1.0980,-5.9313,2.1725,40.0000
2.4000,100.0000,0.3000,6,4,12,-1.1717,1.6883,36.2000,1.1078,-5.8673,2.0608,40.0000
2.4000,100.0000,0.3000,10,6,8,-1.1743,1.6975,35.0000,1.1028,-5.8529,2.0334,40.0000
3.2000,55.0000,0.3000,6,4,12,-1.1745,1.6724,46.2000,1.0888,-5.8584,2.0814,40.0000
2.0000,100.0000,0.3000,6,4,12,-1.1758,1.6773,39.4000,1.1030,-5.8473,2.0448,40.0000
2.0000,100.0000,0.3000,10,6,8,-1.1763,1.7076,37.8000,1.0970,-5.8162,2.0174,40.0000
3.2000,80.0000,0.3000,6,4,12,-1.1782,1.5876,36.8000,1.1087,-5.9019,2.1247,40.0000
2.4000,80.0000,0.3000,10,6,8,-1.1799,1.5955,43.0000,1.1008,-5.8755,2.1012,40.0000
2.4000,35.0000,0.4000,6,4,12,-1.1800,1.5127,62.2000,1.1099,-5.8665,2.1371,40.0000
2.8000,55.0000,0.3000,10,6,8,-1.1810,1.5684,48.6000,1.0815,-5.8815,2.1604,40.0000
2.8000,80.0000,0.3000,6,4,12,-1.1816,1.5335,39.0000,1.1023,-5.9343,2.1149,40.0000
3.2000,80.0000,0.3000,14,8,6,-1.1822,1.5666,35.0000,1.1017,-5.9019,2.1278,40.0000
2.8000,100.0000,0.3000,6,4,12,-1.1841,1.5768,31.2000,1.1013,-5.9257,2.0778,40.0000
2.8000,80.0000,0.3000,14,8,6,-1.1842,1.5287,37.2000,1.0940,-5.9284,2.1180,40.0000
2.0000,55.0000,0.3000,10,6,8,-1.1845,1.6173,58.2000,1.0864,-5.8394,2.0348,40.0000
3.2000,55.0000,0.3000,14,8,6,-1.1852,1.6468,43.0000,1.0893,-5.8584,2.0425,40.0000
3.2000,100.0000,0.3000,6,4,12,-1.1881,1.6407,30.0000,1.0998,-5.8875,1.9911,40.0000
2.0000,35.0000,0.3000,6,4,12,-1.1894,1.5975,68.4000,1.1033,-5.8727,1.9909,40.0000
2.4000,100.0000,0.3000,14,8,6,-1.1894,1.6199,34.6000,1.0994,-5.8693,2.0316,40.0000
2.0000,80.0000,0.3000,6,4,12,-1.1895,1.5855,48.4000,1.1023,-5.8680,2.0042,40.0000
